sentence_idx,word,raw_value,midi_value
0,de,151.0,7
0,los,225.0,25
0,sos,227.3333,25
0,ojos,279.0,38
0,tan,213.3333,22
0,fuertemente,646.6364,127
0,llorando,480.75,86
0,tornaba,410.2857,69
0,la,151.0,7
0,cabeza,363.8333,58
0,y,121.0,0
0,estábalos,592.2222,113
0,catando,422.2857,72
1,vio,220.3333,24
1,puertas,438.8571,79
1,abiertas,484.625,91
1,y,121.0,0
1,uzos,288.5,42
1,sin,218.3333,24
1,candados,475.625,88
1,alcándaras,627.4,127
1,vacías,455.3333,83
1,sin,218.3333,24
1,pieles,375.3333,63
1,y,121.0,0
1,sin,218.3333,24
1,mantos,390.3333,67
1,y,121.0,0
1,sin,218.3333,24
1,halcones,482.5,90
1,y,121.0,0
1,sin,218.3333,24
1,mudados,428.8571,77
1,falcones,482.25,90
2,sospiró,577.1429,127
2,mio,217.3333,20
2,cid,203.0,16
2,ca,146.5,0
2,mucho,322.2,51
2,avié,395.0,73
2,grandes,424.7143,82
2,cuidados,478.75,97
3,fabló,447.4,114
3,mio,217.3333,33
3,cid,203.0,28
3,bien,262.75,49
3,y,121.0,0
3,tan,213.3333,32
3,mesurado,483.0,127
4,grado,315.4,83
4,a,97.0,0
4,ti,163.0,25
4,señor,410.8,119
4,padre,313.4,82
4,que,216.6667,45
4,estás,430.8,127
4,en,160.5,24
4,alto,276.25,68
5,esto,280.75,47
5,me,155.5,0
5,han,209.3333,20
5,vuelto,388.8333,89
5,mis,221.3333,25
5,enemigos,487.5,127
5,malos,329.2,66
6,allí,396.25,111
6,piensan,427.4286,125
6,de,151.0,0
6,aguijar,426.2857,124
6,allí,396.25,111
6,sueltan,430.8571,127
6,las,215.6667,29
6,riendas,422.0,122
7,a,97.0,0
7,la,151.0,13
7,exida,308.2,54
7,de,151.0,13
7,bivar,324.0,58
7,ovieron,438.8571,87
7,la,151.0,13
7,corneja,417.5714,82
7,diestra,430.8571,85
7,y,121.0,6
7,entrando,482.25,98
7,a,97.0,0
7,burgos,388.5,74
7,oviéronla,593.0,127
7,siniestra,540.7778,113
8,meció,448.6,85
8,mio,217.3333,25
8,cid,203.0,21
8,los,225.0,27
8,hombros,440.8571,83
8,y,121.0,0
8,engrameó,609.5,127
8,la,151.0,7
8,tiesta,375.1667,66
9,albricias,525.3333,127
9,álvar,350.6,68
9,fáñez,457.8,104
9,ca,146.5,0
9,echados,424.2857,93
9,somos,336.6,63
9,de,151.0,1
9,tierra,372.8333,75
10,mas,216.0,29
10,a,97.0,0
10,grand,312.4,54
10,ondra,314.4,54
10,tornaremos,601.7,127
10,a,97.0,0
10,castilla,475.875,95
11,mio,217.3333,19
11,cid,203.0,14
11,ruy,237.0,25
11,díaz,338.25,60
11,por,225.3333,21
11,burgos,388.5,77
11,entróve,536.4286,127
11,en,160.5,0
11,sue,217.3333,19
11,compaña,529.4286,124
11,sessaenta,531.5556,125
11,pendones,485.75,109
12,exien,322.0,56
12,lo,165.0,16
12,ver,220.6667,30
12,mugieres,486.0,97
12,e,101.0,0
12,varones,437.0,85
12,burgeses,488.5,98
12,e,101.0,0
12,burgesas,485.0,97
12,por,225.3333,31
12,las,215.6667,29
12,finiestras,600.4,127
12,sone,267.75,42
12,plorando,481.25,96
12,de,151.0,12
12,los,225.0,31
12,ojos,279.0,45
12,tanto,331.8,58
12,avien,320.4,55
12,el,158.5,14
12,dolore,377.6667,70
13,de,151.0,0
13,las,215.6667,26
13,sus,231.3333,32
13,bocas,316.0,67
13,todos,331.4,73
13,dizían,461.5,127
13,una,209.3333,23
13,razón,439.2,117
14,dios,275.75,44
14,qué,348.6667,72
14,buen,268.75,41
14,vassallo,486.75,127
14,si,162.5,0
14,oviesse,434.0,106
14,buen,268.75,41
14,señore,443.3333,109
15,conbidarle,574.1,127
15,íen,256.3333,31
15,de,151.0,0
15,grado,315.4,49
15,mas,216.0,19
15,ninguno,440.5714,86
15,non,220.6667,20
15,osava,317.8,50
16,el,158.5,2
16,rey,226.3333,27
16,don,217.3333,24
16,alfonsso,499.5,127
16,tanto,331.8,65
16,avié,395.0,88
16,la,151.0,0
16,grand,312.4,58
16,saña,355.0,74
17,antes,328.8,53
17,de,151.0,11
17,la,151.0,11
17,noche,310.0,48
17,en,160.5,13
17,burgos,388.5,66
17,dél,296.6667,45
17,entró,468.0,85
17,su,174.5,17
17,carta,316.8,50
17,con,217.0,26
17,grand,312.4,49
17,recabdo,409.7143,71
17,e,101.0,0
17,fuertemente,646.6364,127
17,sellada,405.2857,70
18,que,216.6667,54
18,a,97.0,0
18,mio,217.3333,54
18,cid,203.0,48
18,ruy,237.0,63
18,díaz,338.25,109
18,que,216.6667,54
18,nadi,256.0,72
18,nol,218.6667,55
18,diesse,375.6667,127
18,posada,358.1667,119
19,e,101.0,0
19,aquel,323.6,58
19,que,216.6667,30
19,gela,254.25,40
19,diesse,375.6667,72
19,sopiesse,487.625,101
19,vera,262.5,42
19,palabra,410.1429,81
19,que,216.6667,30
19,perdería,585.0,127
19,los,225.0,32
19,averes,381.1667,73
19,e,101.0,0
19,más,301.3333,52
19,los,225.0,32
19,ojos,279.0,46
19,de,151.0,13
19,la,151.0,13
19,cara,255.75,40
19,e,101.0,0
19,aun,220.3333,31
19,demás,420.8,83
19,los,225.0,32
19,cuerpos,446.1429,90
19,e,101.0,0
19,las,215.6667,30
19,almas,320.6,57
20,grande,361.3333,43
20,duelo,324.8,32
20,avían,396.4,53
20,las,215.6667,0
20,yentes,385.3333,50
20,christianas,643.2727,127
21,ascóndense,637.8,127
21,de,151.0,1
21,mio,217.3333,18
21,cid,203.0,14
21,ca,146.5,0
21,nol,218.6667,18
21,osan,268.0,31
21,dezir,331.6,47
21,nada,248.0,26
22,el,158.5,13
22,campeador,529.8889,95
22,adeliñó,672.0,127
22,a,97.0,0
22,su,174.5,17
22,posada,358.1667,57
23,así,346.0,75
23,como,273.0,53
23,llegó,450.8,107
23,a,97.0,0
23,la,151.0,16
23,puerta,377.8333,85
23,fallóla,513.4286,127
23,bien,262.75,50
23,cerrada,409.0,95
24,por,225.3333,22
24,miedo,315.4,57
24,del,208.6667,16
24,rey,226.3333,23
24,alfonsso,499.5,127
24,que,216.6667,19
24,assí,405.0,91
24,lo,165.0,0
24,pararan,422.5714,97
25,que,216.6667,15
25,si,162.5,2
25,non,220.6667,15
25,la,151.0,0
25,quebrantás,706.7,127
25,que,216.6667,15
25,non,220.6667,15
25,gela,254.25,23
25,abriessen,539.2222,88
25,por,225.3333,16
25,nada,248.0,22
26,los,225.0,36
26,de,151.0,15
26,mio,217.3333,34
26,cid,203.0,30
26,a,97.0,0
26,altas,324.8,64
26,voces,323.2,64
26,llaman,366.0,76
26,los,225.0,36
26,de,151.0,15
26,dentro,388.6667,83
26,non,220.6667,35
26,les,218.3333,34
26,querién,542.7143,127
26,tornar,381.5,81
26,palabra,410.1429,89
27,aguijó,510.3333,127
27,mio,217.3333,36
27,cid,203.0,32
27,a,97.0,0
27,la,151.0,16
27,puerta,377.8333,86
27,se,158.5,18
27,llegava,415.8571,97
27,sacó,394.5,91
27,el,158.5,18
27,pie,208.3333,34
27,del,208.6667,34
27,estribo,432.1429,102
