sentence_idx,word,raw_value,midi_value
0,en,160.5,11
0,un,168.5,14
0,lugar,321.8,60
0,de,151.0,8
0,la,151.0,8
0,mancha,355.1667,70
0,de,151.0,8
0,cuyo,285.0,49
0,nombre,371.1667,75
0,no,166.0,13
0,quiero,383.6667,78
0,acordarme,527.2222,121
0,no,166.0,13
0,ha,149.0,8
0,mucho,322.2,60
0,tiempo,381.8333,78
0,que,216.6667,28
0,vivía,423.0,90
0,un,168.5,14
0,hidalgo,419.5714,89
0,de,151.0,8
0,los,225.0,31
0,de,151.0,8
0,lanza,321.0,59
0,en,160.5,11
0,astillero,544.5556,127
0,adarga,356.8333,70
0,antigua,425.8571,91
0,rocín,426.2,91
0,flaco,312.0,57
0,y,121.0,0
0,galgo,317.6,58
0,corredor,489.125,110
1,una,209.3333,21
1,olla,259.75,33
1,de,151.0,7
1,algo,266.5,35
1,más,301.3333,43
1,vaca,249.25,31
1,que,216.6667,23
1,carnero,434.4286,76
1,salpicón,597.625,116
1,las,215.6667,23
1,más,301.3333,43
1,noches,373.3333,61
1,duelos,385.6667,64
1,y,121.0,0
1,quebrantos,604.1,117
1,los,225.0,25
1,sábados,459.7143,82
1,lantejas,479.5,87
1,los,225.0,25
1,viernes,435.4286,76
1,algún,434.4,76
1,palomino,488.375,89
1,de,151.0,7
1,añadidura,555.4444,105
1,los,225.0,25
1,domingos,491.75,90
1,consumían,641.6667,127
1,las,215.6667,23
1,tres,276.75,37
1,partes,384.5,64
1,de,151.0,7
1,su,174.5,13
1,hacienda,457.0,81
2,el,158.5,9
2,resto,336.0,53
2,della,308.6,46
2,concluían,634.8889,127
2,sayo,279.0,39
2,de,151.0,7
2,velarte,429.2857,76
2,calzas,380.0,64
2,de,151.0,7
2,velludo,434.0,77
2,para,259.0,34
2,las,215.6667,23
2,fiestas,434.5714,77
2,con,217.0,23
2,sus,231.3333,27
2,pantuflos,552.8889,106
2,de,151.0,7
2,lo,165.0,10
2,mismo,331.0,51
2,y,121.0,0
2,los,225.0,25
